NOMBRE_CLIENTE,SUBTOTAL_PARTIDA
PÚBLICO EN GENERAL,434.48
PÚBLICO EN GENERAL,344.83
PÚBLICO EN GENERAL,474.14
PÚBLICO EN GENERAL,2420.0
PÚBLICO EN GENERAL,1044.0
PÚBLICO EN GENERAL,2999.72
PÚBLICO EN GENERAL,566.64
PÚBLICO EN GENERAL,473.28
PÚBLICO EN GENERAL,1659.6
PÚBLICO EN GENERAL,107.76
PÚBLICO EN GENERAL,2665.3
PÚBLICO EN GENERAL,1579.6
PÚBLICO EN GENERAL,3429.75
PÚBLICO EN GENERAL,1626.21
PÚBLICO EN GENERAL,715.7
PÚBLICO EN GENERAL,336.93
PÚBLICO EN GENERAL,862.07
PÚBLICO EN GENERAL,1050.0
PÚBLICO EN GENERAL,239.66
PÚBLICO EN GENERAL,683.25
PÚBLICO EN GENERAL,650.32
PÚBLICO EN GENERAL,512.36
PÚBLICO EN GENERAL,382.76
PÚBLICO EN GENERAL,800.0
PÚBLICO EN GENERAL,1910.0
PÚBLICO EN GENERAL,1700.0
PÚBLICO EN GENERAL,636.21
PÚBLICO EN GENERAL,435.72
PÚBLICO EN GENERAL,1120.69
PÚBLICO EN GENERAL,110.0
PÚBLICO EN GENERAL,4994.0
PÚBLICO EN GENERAL,4886.2
PÚBLICO EN GENERAL,225.0
PÚBLICO EN GENERAL,301.07
PÚBLICO EN GENERAL,2325.34
PÚBLICO EN GENERAL,617.2
PÚBLICO EN GENERAL,265.08
PÚBLICO EN GENERAL,1140.86
PÚBLICO EN GENERAL,999.91
PÚBLICO EN GENERAL,1115.0
PÚBLICO EN GENERAL,192.0
PÚBLICO EN GENERAL,1506.08
PÚBLICO EN GENERAL,702.59
PÚBLICO EN GENERAL,4397.58
PÚBLICO EN GENERAL,1112.0
PÚBLICO EN GENERAL,310.0
PÚBLICO EN GENERAL,2764.11
PÚBLICO EN GENERAL,518.97
PÚBLICO EN GENERAL,809.3
PÚBLICO EN GENERAL,1297.0
PÚBLICO EN GENERAL,1297.0
PÚBLICO EN GENERAL,1386.7
PÚBLICO EN GENERAL,624.27
PÚBLICO EN GENERAL,1320.0
PÚBLICO EN GENERAL,794.0
PÚBLICO EN GENERAL,941.0
PÚBLICO EN GENERAL,348.0
PÚBLICO EN GENERAL,785.0
PÚBLICO EN GENERAL,265.08
PÚBLICO EN GENERAL,924.0
PÚBLICO EN GENERAL,10484.6
PÚBLICO EN GENERAL,1443.3
PÚBLICO EN GENERAL,1033.0
PÚBLICO EN GENERAL,6028.0
PÚBLICO EN GENERAL,497.89
PÚBLICO EN GENERAL,1294.0
PÚBLICO EN GENERAL,1294.0
PÚBLICO EN GENERAL,960.34
PÚBLICO EN GENERAL,772.0
PÚBLICO EN GENERAL,4972.3
PÚBLICO EN GENERAL,1385.0
PÚBLICO EN GENERAL,264.0
PÚBLICO EN GENERAL,1056.48
PÚBLICO EN GENERAL,2098.14
PÚBLICO EN GENERAL,1399.04
PÚBLICO EN GENERAL,1848.28
PÚBLICO EN GENERAL,756.52
PÚBLICO EN GENERAL,2641.2
PÚBLICO EN GENERAL,310.0
PÚBLICO EN GENERAL,1246.74
PÚBLICO EN GENERAL,120.0
PÚBLICO EN GENERAL,4521.0
PÚBLICO EN GENERAL,486.0
PÚBLICO EN GENERAL,3259.44
PÚBLICO EN GENERAL,1318.7
PÚBLICO EN GENERAL,827.59
PÚBLICO EN GENERAL,1158.51
PÚBLICO EN GENERAL,1385.5
PÚBLICO EN GENERAL,315.0
PÚBLICO EN GENERAL,1153.3
PÚBLICO EN GENERAL,689.63
PÚBLICO EN GENERAL,6832.0
PÚBLICO EN GENERAL,410.0
PÚBLICO EN GENERAL,1464.0
CEREALES Y PASTAS,3320.0
CEREALES Y PASTAS,2727.0
CEREALES Y PASTAS,4070.0
CEREALES Y PASTAS,3904.0
CEREALES Y PASTAS,3801.0
CEREALES Y PASTAS,4072.0
CEREALES Y PASTAS,4095.0
CEREALES Y PASTAS,4060.0
CEREALES Y PASTAS,4215.75
CEREALES Y PASTAS,6105.0
CEREALES Y PASTAS,4344.0
CEREALES Y PASTAS,8190.0
CEREALES Y PASTAS,1628.0
CEREALES Y PASTAS,2165.0
CEREALES Y PASTAS,5460.0
CEREALES Y PASTAS,2727.0
CEREALES Y PASTAS,5090.0
CEREALES Y PASTAS,2442.0
CEREALES Y PASTAS,1653.6
CEREALES Y PASTAS,2480.4
CEREALES Y PASTAS,4150.0
CEREALES Y PASTAS,4070.0
CEREALES Y PASTAS,5412.5
CEREALES Y PASTAS,4956.0
CEREALES Y PASTAS,4880.0
CEREALES Y PASTAS,16152.5
CEREALES Y PASTAS,4880.0
